UIDLU,Site name,Latitude,Longitude
LU135,Agnes Rivulet at woodcock rd,-43.13906,147.08038
LU136,Agnes Rivulet at woodcock rd,-43.13906,147.08038
LU137,Cripps Creek 1km from coast,-43.13364464,147.72634726649196
LU138,Cripps Creek 1km from coast,-43.13364464,147.72634726649196
LU139,Castle Forbes Bay Rivulet,-43.13111,146.96838
LU140,Castle Forbes Bay Rivulet,-43.13111,146.96838
LU141,Castle Forbes Rivulet at Harwoods Road,-43.12584,146.95834
LU142,Nicholls Rivulet at Smiths Rd,-43.12435376,147.15580783393168
LU143,Nicholls Rivulet at Smiths Rd,-43.12435376,147.15580783393168
LU144,Nicholls Rivulet at Smiths Road,-43.12431,147.15576
LU145,Nicholls Rivulet at Smiths Road,-43.12431,147.15576
LU146,Agnes Rivulet at Wileys rd,-43.12399,147.09646
LU147,Agnes Rivulet at Wileys rd,-43.12399,147.09646
LU148,Agnes Rivulet at Wileys rd,-43.12399,147.09646
LU149,Plummers Creek at Prices Hill Rd,-43.11861431,147.7652220308122
LU150,Plummers Creek at Prices Hill Rd,-43.11861431,147.7652220308122
LU151,Castle Forbes Rivulet,-43.11518284,146.94992375199467
LU152,Castle Forbes Rivulet,-43.11518284,146.94992375199467
LU153,Simmonds Creek at Fortescue Bay Rd,-43.11348128,147.90470048709784
LU154,Simmonds Creek at Fortescue Bay Rd,-43.11348128,147.90470048709784
LU155,Picton River at Riveaux Rd,-43.10807571,146.71844287459828
LU156,Picton River at Riveaux Rd,-43.10807571,146.71844287459828
LU157,Kroanna Creek at Manuka Rd,-43.09262485,146.67488202170054
LU158,Kroanna Creek at Manuka Rd,-43.09262485,146.67488202170054
LU159,Tomalah Creek at Manuka Rd,-43.08884437,146.669152
LU160,Tomalah Creek at Manuka Rd,-43.08884437,146.669152
LU161,Prices Creek at 26 New Road,-43.08547,147.01014
LU162,Prices Creek at 26 New Road,-43.08547,147.01014
LU163,Prices Creek at Rankins Road,-43.08219,146.98509999999996
LU164,Prices Creek at Rankins Road,-43.08219,146.98509999999996
LU165,Warra Creek at Warra Rd,-43.07223181,146.70601686503088
LU166,Warra Creek at Warra Rd,-43.07223181,146.70601686503088
LU167,Snug River at Snug Tiers Road,-43.07057928,147.23784311360586
LU168,Snug River at Snug Tiers Road,-43.07057928,147.23784311360586
LU169,Arve River at Arve Ford,-43.06705181,146.82317541521596
LU170,Arve River at Arve Ford,-43.06705181,146.82317541521596
LU171,Arve river at Edwards road,-43.06702,146.82299
LU172,Arve river at Edwards road,-43.06702,146.82299
LU173,Arve river at Edwards road,-43.06702,146.82299
LU174,Kellaways Creek below Lords Rd,-43.0624,147.08937
LU175,Kellaways Creek below Lords Rd,-43.0624,147.08937
LU176,Kellaways Creek below Lords Rd,-43.0624,147.08937
LU177,Kellaways Creek at Pelverata Rd,-43.0623717,147.08960298262076
LU178,Kellaways Creek at Pelverata Rd,-43.0623717,147.08960298262076
LU179,snug,-43.06229,147.26010999999997
LU180,Lords rd dam,-43.06156,147.08562
LU181,kellaways ck P3,-43.06138,147.08805
LU182,Pelverata Creek upstr of Pelverata,-43.04949385,147.11094889474194
LU183,Pelverata Creek upstr of Pelverata,-43.04949385,147.11094889474194
LU184,Pelverata Creek @ Pelverata rd,-43.04943,147.11085999999997
LU185,2.0.4.8 android after  crash,-43.04532,147.22528
LU186,2.0.4.8 android after  crash,-43.04532,147.22528
LU187,2.0.4.8 android after  crash,-43.04532,147.22528
LU188,2.0.4.8 android after  crash,-43.04532,147.22528
LU189,2.0.4.8 android after  crash,-43.04532,147.22528
LU190,iOS 2.4.11 test with interrupt,-43.04506,147.22463999999997
LU191,Kellaways Creek at Halls Track Rd,-43.04411136,147.11745852926524
LU192,Kellaways Creek at Halls Track Rd,-43.04411136,147.11745852926524
LU193,Kellaways Ck @ Hallstrack Rd,-43.04374,147.11811000000003
LU194,Kellaways Ck @ Hallstrack Rd,-43.04374,147.11811000000003
LU195,Kellaways Ck @ Hallstrack Rd,-43.04374,147.11811000000003
LU196,Kellaways Ck @ Hallstrack Rd,-43.04374,147.11811000000003
LU197,kellaways ck above Vincents rd,-43.03524,147.14348
LU198,kellaways ck above Vincents rd,-43.03524,147.14348
LU199,Margate rivulet,-43.02897,147.25457
LU200,Crystal Creek at South Weld Rd,-43.02659538,146.66690895766894
LU201,Crystal Creek at South Weld Rd,-43.02659538,146.66690895766894
LU202,Isabella Creek off South Weld Rd,-43.02149875,146.65783
LU203,Isabella Creek off South Weld Rd,-43.02149875,146.65783
LU204,North West Bay River at Channel H'way,-43.02122551,147.26529108662973
LU205,North West Bay River at Channel H'way,-43.02122551,147.26529108662973
